date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:38:55	1857/1857	---M--	200	added ('OK')	text/html	etag:%2252e749fb-741%22	http://klif.kwst.net/index.html	C:/Users/victor/Desktop/En%20Construccion/web/klif.kwst.net/index.html	(from )
10:38:55	1162/1162	---M--	424	error ('Failed%20Dependency')	text/html	etag:%222c964dc-48a-504f086ee9c80%22	http://klif.kwst.net/robots.txt		(from )
10:38:56	1085/1085	---M--	200	added ('OK')	text/css	etag:%2252dfd0da-43d%22	http://klif.kwst.net/css/reset.css	C:/Users/victor/Desktop/En%20Construccion/web/klif.kwst.net/css/reset.css	(from http://klif.kwst.net/index.html)
10:38:56	4355/4355	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202014%2013:44:16%20GMT	http://klif.kwst.net/css/style.css	C:/Users/victor/Desktop/En%20Construccion/web/klif.kwst.net/css/style.css	(from http://klif.kwst.net/index.html)
10:38:57	932/932	---M--	200	added ('OK')	image/x-icon	etag:%2252e190f0-3a4%22	http://klif.kwst.net/img/favicon.ico	C:/Users/victor/Desktop/En%20Construccion/web/klif.kwst.net/img/favicon.ico	(from http://klif.kwst.net/index.html)
10:38:58	422/422	---M--	200	added ('OK')	application/x-javascript	etag:%2252e2693a-1a6%22	http://klif.kwst.net/js/init.js	C:/Users/victor/Desktop/En%20Construccion/web/klif.kwst.net/js/init.js	(from http://klif.kwst.net/index.html)
10:38:58	8846/8846	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2006:17:53%20GMT	http://klif.kwst.net/site/static/index.html	C:/Users/victor/Desktop/En%20Construccion/web/klif.kwst.net/site/static/index.html	(from http://klif.kwst.net/index.html)
10:39:00	9670/9670	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202014%2013:56:54%20GMT	http://klif.kwst.net/site/slideshow/index.html	C:/Users/victor/Desktop/En%20Construccion/web/klif.kwst.net/site/slideshow/index.html	(from http://klif.kwst.net/index.html)
10:39:00	9203/9203	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202014%2013:45:44%20GMT	http://klif.kwst.net/site/video/index.html	C:/Users/victor/Desktop/En%20Construccion/web/klif.kwst.net/site/video/index.html	(from http://klif.kwst.net/index.html)
10:39:15	92629/92629	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	C:/Users/victor/Desktop/En%20Construccion/web/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from http://klif.kwst.net/index.html)
